@RELATION PPI

@ATTRIBUTE Protein1 STRING
@ATTRIBUTE Protein2 STRING
@ATTRIBUTE ProteinExpressionSim NUMERIC
@ATTRIBUTE GeneExpressionSim NUMERIC
@ATTRIBUTE DIPSim NUMERIC
@ATTRIBUTE PositiveData {true,false}

@DATA
YCR015C, YGR291C, 0.21, 0.16, 0.00, false
YGR291C, YCR015C, 0.21, 0.16, 0.00, false
YCR015C, YLL017W, 0.17, 0.26, 0.00, false
YLL017W, YCR015C, 0.17, 0.26, 0.00, false
YCR016W, YGL146C, 0.24, -0.11, 0.00, false
YGL146C, YCR016W, 0.24, -0.11, 0.00, false
YCR016W, YHR158C, 0.30, -0.07, 0.00, false
YHR158C, YCR016W, 0.30, -0.07, 0.00, false
YCR016W, YIL067C, 0.17, -0.18, 0.00, false
YIL067C, YCR016W, 0.17, -0.18, 0.00, false
YCR016W, YLR405W, 0.16, 0.57, 0.00, false
YLR405W, YCR016W, 0.16, 0.57, 0.00, false
YCR016W, YMR090W, 0.15, -0.11, 0.00, false
YMR090W, YCR016W, 0.15, -0.11, 0.00, false
YCR016W, YPL151C, 0.20, 0.11, 0.00, false
YPL151C, YCR016W, 0.20, 0.11, 0.00, false
YCR017C, YDL217C, 0.35, 0.51, 0.00, false
YDL217C, YCR017C, 0.35, 0.51, 0.00, false
YCR017C, YGR267C, 0.29, -0.31, 0.00, false
YGR267C, YCR017C, 0.29, -0.31, 0.00, false
YCR017C, YML060W, 0.20, -0.25, 0.00, false
YML060W, YCR017C, 0.20, -0.25, 0.00, false
YCR017C, YML073C, 0.27, -0.03, 0.00, false
YML073C, YCR017C, 0.27, -0.03, 0.00, false
YCR018C, YJR010W, 0.08, -0.05, 0.00, false
YJR010W, YCR018C, 0.08, -0.05, 0.00, false
YCR018C, YLR177W, 0.14, 0.04, 0.00, false
YLR177W, YCR018C, 0.14, 0.04, 0.00, false
YCR018C, YLR221C, 0.01, -0.29, 0.00, false
YLR221C, YCR018C, 0.01, -0.29, 0.00, false
YCR018C, YOL055C, 0.14, 0.19, 0.00, false
YOL055C, YCR018C, 0.14, 0.19, 0.00, false
YCR018C, YPR122W, 0.04, 0.23, 0.00, false
YPR122W, YCR018C, 0.04, 0.23, 0.00, false
YCR019W, YGR145W, 0.25, -0.05, 0.00, false
YGR145W, YCR019W, 0.25, -0.05, 0.00, false
YCR019W, YHR182W, 0.20, 0.47, 0.00, false
YHR182W, YCR019W, 0.20, 0.47, 0.00, false
YCR019W, YKL068W, 0.28, -0.29, 0.00, false
YKL068W, YCR019W, 0.28, -0.29, 0.00, false
YCR019W, YOR052C, 0.27, 0.29, 0.00, false
YOR052C, YCR019W, 0.27, 0.29, 0.00, false
YCR019W, YPL225W, 0.12, 0.05, 0.00, false
YPL225W, YCR019W, 0.12, 0.05, 0.00, false
YCR020C, YIL035C, 0.16, -0.04, 0.00, false
YIL035C, YCR020C, 0.16, -0.04, 0.00, false
YCR020C, YJR117W, 0.30, 0.07, 0.00, false
YJR117W, YCR020C, 0.30, 0.07, 0.00, false
YCR020C, YNR017W, 0.05, 0.16, 0.00, false
YNR017W, YCR020C, 0.05, 0.16, 0.00, false
YCR020C, YOR121C, 0.10, 0.29, 0.00, false
YOR121C, YCR020C, 0.10, 0.29, 0.00, false
YCR020C, YOR136W, 0.18, 0.24, 0.00, false
YOR136W, YCR020C, 0.18, 0.24, 0.00, false
YCR020C-A, YDR466W, 0.22, 0.25, 0.00, false
YDR466W, YCR020C-A, 0.22, 0.25, 0.00, false
YCR020C-A, YEL029C, 0.25, 0.09, 0.00, false
YEL029C, YCR020C-A, 0.25, 0.09, 0.00, false
YCR020C-A, YER065C, 0.19, -0.29, 0.00, false
YER065C, YCR020C-A, 0.19, -0.29, 0.00, false
YCR020C-A, YGR183C, 0.05, 0.18, 0.00, false
YGR183C, YCR020C-A, 0.05, 0.18, 0.00, false
YCR020C-A, YKR051W, 0.29, 0.19, 0.00, false
YKR051W, YCR020C-A, 0.29, 0.19, 0.00, false
YCR020C-A, YNL236W, 0.20, 0.10, 0.00, false
YNL236W, YCR020C-A, 0.20, 0.10, 0.00, false
YCR020C-A, YPR078C, 0.14, 0.10, 0.00, false
YPR078C, YCR020C-A, 0.14, 0.10, 0.00, false
YCR020W-B, YER111C, 0.23, 0.05, 0.00, false
YER111C, YCR020W-B, 0.23, 0.05, 0.00, false
YCR020W-B, YPL004C, 0.23, 0.05, 0.00, false
YPL004C, YCR020W-B, 0.23, 0.05, 0.00, false
YCR021C, YJL176C, 0.22, -0.25, 0.04, false
YJL176C, YCR021C, 0.22, -0.25, 0.04, false
YCR021C, YMR025W, 0.16, 0.25, 0.00, false
YMR025W, YCR021C, 0.16, 0.25, 0.00, false
YCR021C, YPL205C, 0.13, -0.15, 0.00, false
YPL205C, YCR021C, 0.13, -0.15, 0.00, false
YCR022C, YCR031C, 0.07, 0.31, 0.00, false
YCR031C, YCR022C, 0.07, 0.31, 0.00, false
YCR022C, YCR086W, 0.09, -0.12, 0.00, false
YCR086W, YCR022C, 0.09, -0.12, 0.00, false
YCR022C, YER087W, 0.14, 0.32, 0.00, false
YER087W, YCR022C, 0.14, 0.32, 0.00, false
YCR022C, YGL022W, 0.15, -0.20, 0.00, false
YGL022W, YCR022C, 0.15, -0.20, 0.00, false
YCR022C, YGR099W, 0.19, -0.39, 0.33, false
YGR099W, YCR022C, 0.19, -0.39, 0.33, false
YCR022C, YKL003C, 0.07, 0.32, 0.00, false
YKL003C, YCR022C, 0.07, 0.32, 0.00, false
YCR022C, YKR054C, 0.32, 0.19, 0.00, false
YKR054C, YCR022C, 0.32, 0.19, 0.00, false
YCR022C, YNL040W, 0.30, -0.06, 0.00, false
YNL040W, YCR022C, 0.30, -0.06, 0.00, false
YCR022C, YNL258C, 0.26, 0.07, 0.00, false
YNL258C, YCR022C, 0.26, 0.07, 0.00, false
YCR023C, YDL204W, 0.31, 0.25, 0.00, false
YDL204W, YCR023C, 0.31, 0.25, 0.00, false
YCR023C, YHL012W, 0.36, -0.24, 0.00, false
YHL012W, YCR023C, 0.36, -0.24, 0.00, false
YCR023C, YLL058W, 0.38, 0.06, 0.00, false
YLL058W, YCR023C, 0.38, 0.06, 0.00, false
YCR023C, YLR068W, 0.10, -0.40, 0.00, false
YLR068W, YCR023C, 0.10, -0.40, 0.00, false
YCR023C, YNL239W, 0.29, 0.25, 0.00, false
YNL239W, YCR023C, 0.29, 0.25, 0.00, false
YCR023C, YOR099W, 0.32, 0.22, 0.00, false
YOR099W, YCR023C, 0.32, 0.22, 0.00, false
YCR024C, YCR028C-A, 0.23, 0.05, 0.00, false
YCR028C-A, YCR024C, 0.23, 0.05, 0.00, false
YCR024C, YDR078C, 0.17, 0.28, 0.00, false
YDR078C, YCR024C, 0.17, 0.28, 0.00, false
YCR024C, YJL098W, 0.36, -0.05, 0.00, false
YJL098W, YCR024C, 0.36, -0.05, 0.00, false
YCR024C, YOL053W, 0.41, 0.30, 0.00, false
YOL053W, YCR024C, 0.41, 0.30, 0.00, false
YCR024C, YOR151C, 0.39, -0.34, 0.00, false
YOR151C, YCR024C, 0.39, -0.34, 0.00, false
YCR024C, YPR046W, 0.23, 0.21, 0.00, false
YPR046W, YCR024C, 0.23, 0.21, 0.00, false
YCR024C-A, YGR158C, 0.07, -0.25, 0.02, false
YGR158C, YCR024C-A, 0.07, -0.25, 0.02, false
YCR024C-A, YMR070W, 0.02, 0.04, 0.00, false
YMR070W, YCR024C-A, 0.02, 0.04, 0.00, false
YCR024C-A, YOR007C, 0.10, -0.23, 0.00, false
YOR007C, YCR024C-A, 0.10, -0.23, 0.00, false
YCR024C-A, YPR065W, 0.06, 0.06, 0.00, false
YPR065W, YCR024C-A, 0.06, 0.06, 0.00, false
YCR024C-B, YHR209W, 0.23, 0.05, 0.00, false
YHR209W, YCR024C-B, 0.23, 0.05, 0.00, false
YCR024C-B, YJR034W, 0.23, 0.05, 0.00, false
YJR034W, YCR024C-B, 0.23, 0.05, 0.00, false
YCR024C-B, YLR007W, 0.23, 0.05, 0.00, false
YLR007W, YCR024C-B, 0.23, 0.05, 0.00, false
YCR024C-B, YLR413W, 0.23, 0.05, 0.00, false
YLR413W, YCR024C-B, 0.23, 0.05, 0.00, false
YCR024C-B, YNL297C, 0.23, 0.05, 0.00, false
YNL297C, YCR024C-B, 0.23, 0.05, 0.00, false
YCR024C-B, YOR330C, 0.23, 0.05, 0.00, false
YOR330C, YCR024C-B, 0.23, 0.05, 0.00, false
YCR026C, YDL241W, 0.22, 0.11, 0.00, false
YDL241W, YCR026C, 0.22, 0.11, 0.00, false
YCR026C, YDR457W, 0.57, 0.20, 0.00, false
YDR457W, YCR026C, 0.57, 0.20, 0.00, false
YCR026C, YGL204C, 0.15, -0.04, 0.00, false
YGL204C, YCR026C, 0.15, -0.04, 0.00, false
YCR026C, YIL076W, 0.37, 0.42, 0.00, false
YIL076W, YCR026C, 0.37, 0.42, 0.00, false
YCR026C, YIR009W, 0.17, 0.20, 0.00, false
YIR009W, YCR026C, 0.17, 0.20, 0.00, false
YCR026C, YJL060W, 0.33, 0.20, 0.00, false
YJL060W, YCR026C, 0.33, 0.20, 0.00, false
YCR026C, YLR087C, 0.53, 0.38, 0.00, false
YLR087C, YCR026C, 0.53, 0.38, 0.00, false
YCR027C, YGR067C, 0.28, -0.10, 0.00, false
YGR067C, YCR027C, 0.28, -0.10, 0.00, false
YCR027C, YIL156W, 0.27, 0.01, 0.00, false
YIL156W, YCR027C, 0.27, 0.01, 0.00, false
YCR027C, YJR162C, 0.12, -0.02, 0.00, false
YJR162C, YCR027C, 0.12, -0.02, 0.00, false
YCR027C, YLR135W, 0.23, 0.12, 0.00, false
YLR135W, YCR027C, 0.23, 0.12, 0.00, false
YCR027C, YML096W, 0.23, -0.01, 0.00, false
YML096W, YCR027C, 0.23, -0.01, 0.00, false
YCR027C, YOR187W, 0.17, -0.01, 0.00, false
YOR187W, YCR027C, 0.17, -0.01, 0.00, false
YCR027C, YPL157W, 0.17, 0.18, 0.00, false
YPL157W, YCR027C, 0.17, 0.18, 0.00, false
YCR028C, YDL027C, 0.31, -0.08, 0.00, false
YDL027C, YCR028C, 0.31, -0.08, 0.00, false
YCR028C, YDL227C, 0.24, 0.43, 0.00, false
YDL227C, YCR028C, 0.24, 0.43, 0.00, false
YCR028C, YGL038C, 0.31, 0.17, 0.00, false
YGL038C, YCR028C, 0.31, 0.17, 0.00, false
YCR028C, YGR057C, 0.29, 0.33, 0.00, false
YGR057C, YCR028C, 0.29, 0.33, 0.00, false
YCR028C, YJL106W, 0.31, -0.00, 0.00, false
YJL106W, YCR028C, 0.31, -0.00, 0.00, false
YCR028C, YJR157W, 0.29, 0.22, 0.00, false
YJR157W, YCR028C, 0.29, 0.22, 0.00, false
YCR028C, YOL097C, 0.23, -0.06, 0.00, false
YOL097C, YCR028C, 0.23, -0.06, 0.00, false
YCR028C, YPL254W, 0.30, 0.21, 0.00, false
YPL254W, YCR028C, 0.30, 0.21, 0.00, false
YCR028C, YPR119W, 0.28, 0.21, 0.00, false
YPR119W, YCR028C, 0.28, 0.21, 0.00, false
YCR028C-A, YDL025C, 0.23, 0.05, 0.00, false
YDL025C, YCR028C-A, 0.23, 0.05, 0.00, false
YCR028C-A, YDL217C, 0.23, 0.05, 0.00, false
YDL217C, YCR028C-A, 0.23, 0.05, 0.00, false
YCR028C-A, YDR028C, 0.23, 0.05, 0.00, false
YDR028C, YCR028C-A, 0.23, 0.05, 0.00, false
YCR028C-A, YFR019W, 0.23, 0.05, 0.00, false
YFR019W, YCR028C-A, 0.23, 0.05, 0.00, false
YCR028C-A, YFR024C, 0.23, 0.05, 0.00, false
YFR024C, YCR028C-A, 0.23, 0.05, 0.00, false
YCR028C-A, YGR161C-D, 0.23, 0.05, 0.00, false
YGR161C-D, YCR028C-A, 0.23, 0.05, 0.00, false
YCR028C-A, YHL009W-B, 0.23, 0.05, 0.00, false
YHL009W-B, YCR028C-A, 0.23, 0.05, 0.00, false
YCR028C-A, YHR219W, 0.23, 0.05, 0.00, false
YHR219W, YCR028C-A, 0.23, 0.05, 0.00, false
YCR028C-A, YKR008W, 0.23, 0.05, 0.00, false
YKR008W, YCR028C-A, 0.23, 0.05, 0.00, false
YCR028C-A, YLR071C, 0.23, 0.05, 0.00, false
YLR071C, YCR028C-A, 0.23, 0.05, 0.00, false
YCR028C-A, YNR057C, 0.23, 0.05, 0.00, false
YNR057C, YCR028C-A, 0.23, 0.05, 0.00, false
YCR028C-A, YOR246C, 0.23, 0.05, 0.00, false
YOR246C, YCR028C-A, 0.23, 0.05, 0.00, false
YCR030C, YEL067C, 0.32, 0.36, 0.00, false
YEL067C, YCR030C, 0.32, 0.36, 0.00, false
YCR030C, YJL199C, 0.18, -0.10, 0.00, false
YJL199C, YCR030C, 0.18, -0.10, 0.00, false
YCR030C, YNL274C, 0.16, 0.68, 0.00, false
YNL274C, YCR030C, 0.16, 0.68, 0.00, false
YCR030C, YOR045W, 0.16, -0.09, 0.00, false
YOR045W, YCR030C, 0.16, -0.09, 0.00, false
YCR031C, YDR222W, 0.02, -0.28, 0.00, false
YDR222W, YCR031C, 0.02, -0.28, 0.00, false
YCR031C, YER144C, 0.07, 0.32, 0.00, false
YER144C, YCR031C, 0.07, 0.32, 0.00, false
YCR031C, YNL191W, 0.12, -0.24, 0.00, false
YNL191W, YCR031C, 0.12, -0.24, 0.00, false
YCR031C, YOR343W-B, 0.23, 0.05, 0.00, false
YOR343W-B, YCR031C, 0.23, 0.05, 0.00, false
YCR032W, YLR245C, 0.13, 0.24, 0.00, false
YLR245C, YCR032W, 0.13, 0.24, 0.00, false
YCR033W, YER039C, 0.31, -0.08, 0.00, false
YER039C, YCR033W, 0.31, -0.08, 0.00, false
YCR033W, YER157W, 0.42, 0.25, 0.00, false
YER157W, YCR033W, 0.42, 0.25, 0.00, false
YCR033W, YLR053C, 0.23, 0.13, 0.00, false
YLR053C, YCR033W, 0.23, 0.13, 0.00, false
YCR033W, YLR186W, 0.20, 0.38, 0.00, false
YLR186W, YCR033W, 0.20, 0.38, 0.00, false
YCR033W, YNL197C, 0.45, 0.19, 0.00, false
YNL197C, YCR033W, 0.45, 0.19, 0.00, false
YCR033W, YOR391C, 0.34, 0.02, 0.00, false
YOR391C, YCR033W, 0.34, 0.02, 0.00, false
YCR035C, YCR057C, 0.23, 0.02, 0.00, false
YCR057C, YCR035C, 0.23, 0.02, 0.00, false
YCR035C, YCR075W-A, 0.23, 0.05, 0.00, false
YCR075W-A, YCR035C, 0.23, 0.05, 0.00, false
YCR035C, YMR116C, 0.28, -0.18, 0.00, false
YMR116C, YCR035C, 0.28, -0.18, 0.00, false
YCR036W, YDL133C-A, 0.23, 0.05, 0.00, false
YDL133C-A, YCR036W, 0.23, 0.05, 0.00, false
YCR036W, YDL196W, 0.21, -0.02, 0.00, false
YDL196W, YCR036W, 0.21, -0.02, 0.00, false
YCR036W, YLR321C, 0.25, 0.13, 0.00, false
YLR321C, YCR036W, 0.25, 0.13, 0.00, false
YCR036W, YMR309C, 0.25, -0.21, 0.00, false
YMR309C, YCR036W, 0.25, -0.21, 0.00, false
YCR037C, YER048W-A, 0.23, 0.05, 0.00, false
YER048W-A, YCR037C, 0.23, 0.05, 0.00, false
YCR037C, YFL024C, 0.33, 0.29, 0.00, false
YFL024C, YCR037C, 0.33, 0.29, 0.00, false
YCR037C, YLR039C, 0.53, 0.09, 0.00, false
YLR039C, YCR037C, 0.53, 0.09, 0.00, false
YCR038C, YHL032C, 0.22, -0.31, 0.00, false
YHL032C, YCR038C, 0.22, -0.31, 0.00, false
YCR038C, YLR448W, 0.19, -0.57, 0.00, false
YLR448W, YCR038C, 0.19, -0.57, 0.00, false
YCR038C, YNL105W, 0.06, 0.46, 0.00, false
YNL105W, YCR038C, 0.06, 0.46, 0.00, false
YCR038C, YOL107W, 0.38, 0.16, 0.00, false
YOL107W, YCR038C, 0.38, 0.16, 0.00, false
YCR039C, YDR047W, 0.19, -0.19, 0.00, false
YDR047W, YCR039C, 0.19, -0.19, 0.00, false
YCR039C, YPR080W, 0.13, -0.20, 0.00, false
YPR080W, YCR039C, 0.13, -0.20, 0.00, false
YCR040W, YJL163C, 0.15, 0.25, 0.00, false
YJL163C, YCR040W, 0.15, 0.25, 0.00, false
YCR040W, YMR005W, 0.24, -0.15, 0.00, false
YMR005W, YCR040W, 0.24, -0.15, 0.00, false
YCR040W, YMR158W, 0.19, 0.02, 0.00, false
YMR158W, YCR040W, 0.19, 0.02, 0.00, false
YCR041W, YDR073W, 0.22, 0.15, 0.00, false
YDR073W, YCR041W, 0.22, 0.15, 0.00, false
YCR041W, YGL122C, 0.13, -0.16, 0.00, false
YGL122C, YCR041W, 0.13, -0.16, 0.00, false
YCR041W, YLR134W, 0.17, 0.04, 0.00, false
YLR134W, YCR041W, 0.17, 0.04, 0.00, false
YCR041W, YLR341W, 0.16, -0.00, 0.00, false
YLR341W, YCR041W, 0.16, -0.00, 0.00, false
YCR041W, YOL081W, 0.30, 0.08, 0.00, false
YOL081W, YCR041W, 0.30, 0.08, 0.00, false
YCR041W, YPR047W, 0.09, 0.17, 0.14, false
YPR047W, YCR041W, 0.09, 0.17, 0.14, false
YCR042C, YDR329C, 0.43, 0.00, 0.00, false
YDR329C, YCR042C, 0.43, 0.00, 0.00, false
YCR042C, YHL045W, 0.25, -0.04, 0.00, false
YHL045W, YCR042C, 0.25, -0.04, 0.00, false
YCR042C, YNL031C, 0.17, -0.39, 0.00, false
YNL031C, YCR042C, 0.17, -0.39, 0.00, false
YCR042C, YOR241W, 0.44, -0.14, 0.00, false
YOR241W, YCR042C, 0.44, -0.14, 0.00, false
YCR042C, YPL034W, 0.30, -0.06, 0.00, false
YPL034W, YCR042C, 0.30, -0.06, 0.00, false
YCR043C, YDL036C, 0.16, 0.11, 0.00, false
YDL036C, YCR043C, 0.16, 0.11, 0.00, false
YCR043C, YHR178W, 0.20, 0.22, 0.00, false
YHR178W, YCR043C, 0.20, 0.22, 0.00, false
YCR043C, YIL125W, 0.27, -0.13, 0.00, false
YIL125W, YCR043C, 0.27, -0.13, 0.00, false
YCR043C, YKR052C, 0.20, -0.29, 0.00, false
YKR052C, YCR043C, 0.20, -0.29, 0.00, false
YCR043C, YLR013W, 0.03, 0.53, 0.00, false
YLR013W, YCR043C, 0.03, 0.53, 0.00, false
YCR043C, YLR267W, 0.15, 0.04, 0.00, false
YLR267W, YCR043C, 0.15, 0.04, 0.00, false
YCR044C, YER022W, 0.31, 0.16, 0.00, false
YER022W, YCR044C, 0.31, 0.16, 0.00, false
YCR044C, YIR014W, 0.34, -0.08, 0.00, false
YIR014W, YCR044C, 0.34, -0.08, 0.00, false
YCR044C, YJL179W, 0.08, -0.10, 0.00, false
YJL179W, YCR044C, 0.08, -0.10, 0.00, false
YCR044C, YLL023C, 0.40, 0.37, 0.00, false
YLL023C, YCR044C, 0.40, 0.37, 0.00, false
YCR044C, YNL167C, 0.37, 0.13, 0.00, false
YNL167C, YCR044C, 0.37, 0.13, 0.00, false
YCR045C, YCR059C, 0.18, 0.12, 0.00, false
YCR059C, YCR045C, 0.18, 0.12, 0.00, false
YCR045C, YDR376W, 0.17, 0.03, 0.00, false
YDR376W, YCR045C, 0.17, 0.03, 0.00, false
YCR045C, YLR019W, 0.31, -0.16, 0.00, false
YLR019W, YCR045C, 0.31, -0.16, 0.00, false
YCR045C, YLR203C, 0.26, -0.28, 0.00, false
YLR203C, YCR045C, 0.26, -0.28, 0.00, false
YCR046C, YDR508C, 0.19, 0.16, 0.00, false
YDR508C, YCR046C, 0.19, 0.16, 0.00, false
YCR046C, YIL134W, 0.19, 0.30, 0.00, false
YIL134W, YCR046C, 0.19, 0.30, 0.00, false
YCR046C, YJL004C, 0.14, -0.14, 0.00, false
YJL004C, YCR046C, 0.14, -0.14, 0.00, false
YCR046C, YLR421C, 0.16, -0.09, 0.00, false
YLR421C, YCR046C, 0.16, -0.09, 0.00, false
YCR046C, YMR132C, 0.05, -0.40, 0.00, false
YMR132C, YCR046C, 0.05, -0.40, 0.00, false
YCR046C, YPR019W, 0.20, -0.09, 0.00, false
YPR019W, YCR046C, 0.20, -0.09, 0.00, false
YCR047C, YGL258W, 0.19, -0.17, 0.00, false
YGL258W, YCR047C, 0.19, -0.17, 0.00, false
YCR047C, YIL129C, 0.28, 0.20, 0.00, false
YIL129C, YCR047C, 0.28, 0.20, 0.00, false
YCR047C, YKL096W-A, 0.23, 0.05, 0.00, false
YKL096W-A, YCR047C, 0.23, 0.05, 0.00, false
YCR047C, YNL188W, 0.13, -0.10, 0.00, false
YNL188W, YCR047C, 0.13, -0.10, 0.00, false
YCR048W, YFL037W, 0.31, -0.28, 0.00, false
YFL037W, YCR048W, 0.31, -0.28, 0.00, false
YCR048W, YKR009C, 0.42, -0.25, 0.00, false
YKR009C, YCR048W, 0.42, -0.25, 0.00, false
YCR048W, YNL027W, 0.29, 0.47, 0.00, false
YNL027W, YCR048W, 0.29, 0.47, 0.00, false
YCR048W, YOL102C, 0.27, -0.26, 0.00, false
YOL102C, YCR048W, 0.27, -0.26, 0.00, false
YCR048W, YOR270C, 0.43, 0.19, 0.00, false
YOR270C, YCR048W, 0.43, 0.19, 0.00, false
YCR050C, YIL116W, 0.12, 0.12, 0.00, false
YIL116W, YCR050C, 0.12, 0.12, 0.00, false
YCR050C, YLR177W, 0.11, 0.01, 0.00, false
YLR177W, YCR050C, 0.11, 0.01, 0.00, false
YCR050C, YLR260W, 0.06, 0.24, 0.00, false
YLR260W, YCR050C, 0.06, 0.24, 0.00, false
YCR051W, YDR132C, 0.19, -0.04, 0.00, false
YDR132C, YCR051W, 0.19, -0.04, 0.00, false
YCR051W, YKL026C, 0.00, 0.04, 0.00, false
YKL026C, YCR051W, 0.00, 0.04, 0.00, false
YCR051W, YLR145W, 0.09, 0.23, 0.00, false
YLR145W, YCR051W, 0.09, 0.23, 0.00, false
YCR051W, YMR125W, 0.22, -0.21, 0.00, false
YMR125W, YCR051W, 0.22, -0.21, 0.00, false
YCR051W, YMR207C, 0.22, -0.13, 0.00, false
YMR207C, YCR051W, 0.22, -0.13, 0.00, false
YCR051W, YOR148C, 0.23, 0.07, 0.00, false
YOR148C, YCR051W, 0.23, 0.07, 0.00, false
YCR052W, YEL020C, 0.31, 0.24, 0.00, false
YEL020C, YCR052W, 0.31, 0.24, 0.00, false
YCR052W, YNL107W, 0.22, -0.02, 0.00, false
YNL107W, YCR052W, 0.22, -0.02, 0.00, false
YCR053W, YDR135C, 0.47, 0.36, 0.00, false
YDR135C, YCR053W, 0.47, 0.36, 0.00, false
YCR053W, YGL162W, 0.29, -0.48, 0.00, false
YGL162W, YCR053W, 0.29, -0.48, 0.00, false
YCR053W, YGR276C, 0.36, -0.35, 0.00, false
YGR276C, YCR053W, 0.36, -0.35, 0.00, false
YCR053W, YOL094C, 0.31, -0.07, 0.00, false
YOL094C, YCR053W, 0.31, -0.07, 0.00, false
YCR054C, YER085C, 0.19, 0.53, 0.00, false
YER085C, YCR054C, 0.19, 0.53, 0.00, false
YCR054C, YGL021W, 0.35, -0.03, 0.00, false
YGL021W, YCR054C, 0.35, -0.03, 0.00, false
YCR054C, YJR048W, 0.06, -0.16, 0.00, false
YJR048W, YCR054C, 0.06, -0.16, 0.00, false
YCR054C, YPL233W, 0.19, 0.38, 0.00, false
YPL233W, YCR054C, 0.19, 0.38, 0.00, false
YCR057C, YDR210C-C, 0.23, 0.05, 0.00, false
YDR210C-C, YCR057C, 0.23, 0.05, 0.00, false
YCR057C, YER140W, 0.33, -0.21, 0.00, false
YER140W, YCR057C, 0.33, -0.21, 0.00, false
YCR057C, YML009C, 0.02, 0.07, 0.00, false
YML009C, YCR057C, 0.02, 0.07, 0.00, false
YCR057C, YMR295C, 0.03, 0.38, 0.00, false
YMR295C, YCR057C, 0.03, 0.38, 0.00, false
YCR059C, YDR119W-A, 0.23, 0.05, 0.00, false
YDR119W-A, YCR059C, 0.23, 0.05, 0.00, false
YCR059C, YLR384C, 0.36, 0.06, 0.00, false
YLR384C, YCR059C, 0.36, 0.06, 0.00, false
YCR059C, YPR176C, 0.14, 0.34, 0.00, false
YPR176C, YCR059C, 0.14, 0.34, 0.00, false
YCR060W, YDL104C, 0.11, 0.17, 0.00, false
YDL104C, YCR060W, 0.11, 0.17, 0.00, false
YCR060W, YGR220C, 0.04, -0.20, 0.00, false
YGR220C, YCR060W, 0.04, -0.20, 0.00, false
YCR060W, YKL102C, 0.12, -0.10, 0.00, false
YKL102C, YCR060W, 0.12, -0.10, 0.00, false
YCR060W, YKL157W, 0.15, 0.13, 0.00, false
YKL157W, YCR060W, 0.15, 0.13, 0.00, false
YCR060W, YLR009W, 0.00, -0.35, 0.00, false
YLR009W, YCR060W, 0.00, -0.35, 0.00, false
YCR060W, YMR211W, 0.05, -0.35, 0.00, false
YMR211W, YCR060W, 0.05, -0.35, 0.00, false
YCR060W, YMR264W, 0.18, 0.23, 0.00, false
YMR264W, YCR060W, 0.18, 0.23, 0.00, false
YCR060W, YPL152W, 0.18, 0.35, 0.00, false
YPL152W, YCR060W, 0.18, 0.35, 0.00, false
YCR061W, YDR329C, 0.25, 0.10, 0.00, false
YDR329C, YCR061W, 0.25, 0.10, 0.00, false
YCR061W, YER059W, 0.35, 0.46, 0.00, false
YER059W, YCR061W, 0.35, 0.46, 0.00, false
YCR061W, YGL086W, 0.16, 0.28, 0.00, false
YGL086W, YCR061W, 0.16, 0.28, 0.00, false
YCR061W, YIL056W, 0.45, -0.56, 0.00, false
YIL056W, YCR061W, 0.45, -0.56, 0.00, false
YCR061W, YJL127C-B, 0.23, 0.05, 0.00, false
YJL127C-B, YCR061W, 0.23, 0.05, 0.00, false
YCR061W, YPR115W, 0.43, -0.23, 0.00, false
YPR115W, YCR061W, 0.43, -0.23, 0.00, false
YCR063W, YML025C, 0.10, 0.05, 0.00, false
YML025C, YCR063W, 0.10, 0.05, 0.00, false
YCR065W, YLR438C-A, 0.23, 0.05, 0.00, false
YLR438C-A, YCR065W, 0.23, 0.05, 0.00, false
YCR065W, YOL166W-A, 0.23, 0.05, 0.00, false
YOL166W-A, YCR065W, 0.23, 0.05, 0.00, false
YCR066W, YLR107W, 0.28, 0.32, 0.00, false
YLR107W, YCR066W, 0.28, 0.32, 0.00, false
YCR067C, YHR037W, 0.38, -0.19, 0.00, false
YHR037W, YCR067C, 0.38, -0.19, 0.00, false
YCR067C, YLR157W-D, 0.23, 0.05, 0.00, false
YLR157W-D, YCR067C, 0.23, 0.05, 0.00, false
YCR068W, YLR465C, 0.09, 0.01, 0.00, false
YLR465C, YCR068W, 0.09, 0.01, 0.00, false
YCR068W, YNL278W, 0.46, 0.06, 0.00, false
YNL278W, YCR068W, 0.46, 0.06, 0.00, false
YCR069W, YDR414C, 0.18, 0.20, 0.00, false
YDR414C, YCR069W, 0.18, 0.20, 0.00, false
YCR069W, YER175W-A, 0.23, 0.05, 0.00, false
YER175W-A, YCR069W, 0.23, 0.05, 0.00, false
YCR069W, YFL055W, 0.27, 0.39, 0.00, false
YFL055W, YCR069W, 0.27, 0.39, 0.00, false
YCR069W, YNL096C, 0.16, 0.02, 0.00, false
YNL096C, YCR069W, 0.16, 0.02, 0.00, false
YCR069W, YOL164W, 0.32, 0.31, 0.00, false
YOL164W, YCR069W, 0.32, 0.31, 0.00, false
YCR071C, YDR167W, 0.23, 0.00, 0.00, false
YDR167W, YCR071C, 0.23, 0.00, 0.00, false
YCR071C, YGL143C, 0.02, 0.37, 0.00, false
YGL143C, YCR071C, 0.02, 0.37, 0.00, false
YCR072C, YGR024C, 0.12, 0.25, 0.00, false
YGR024C, YCR072C, 0.12, 0.25, 0.00, false
