@RELATION PPI

@ATTRIBUTE Protein1 STRING
@ATTRIBUTE Protein2 STRING
@ATTRIBUTE ProteinExpressionSim NUMERIC
@ATTRIBUTE GeneExpressionSim NUMERIC
@ATTRIBUTE DIPSim NUMERIC
@ATTRIBUTE PositiveData {true,false}

@DATA
YEL003W, YAL011W, 0.16, 0.03, 0.00, true
YAL011W, YEL018W, 0.24, -0.05, 0.00, true
YEL018W, YAL011W, 0.24, -0.05, 0.00, true
YAL011W, YGL043W, 0.11, 0.34, 0.00, true
YGL043W, YAL011W, 0.11, 0.34, 0.00, true
YAL011W, YGL058W, 0.23, -0.10, 0.00, true
YGL058W, YAL011W, 0.23, -0.10, 0.00, true
YAL011W, YGL127C, 0.15, -0.13, 0.00, true
YGL127C, YAL011W, 0.15, -0.13, 0.00, true
YAL011W, YGL244W, 0.34, 0.27, 0.00, true
YGL244W, YAL011W, 0.34, 0.27, 0.00, true
YAL011W, YGR078C, 0.17, -0.06, 0.00, true
YGR078C, YAL011W, 0.17, -0.06, 0.00, true
YAL011W, YJL081C, 0.27, 0.01, 0.00, true
YJL081C, YAL011W, 0.27, 0.01, 0.00, true
YAL011W, YJL168C, 0.32, 0.16, 0.00, true
YJL168C, YAL011W, 0.32, 0.16, 0.00, true
YAL011W, YLR015W, 0.18, -0.04, 0.00, true
YLR015W, YAL011W, 0.18, -0.04, 0.00, true
YAL011W, YLR039C, 0.29, 0.24, 0.00, true
YLR039C, YAL011W, 0.29, 0.24, 0.00, true
YAL011W, YLR055C, 0.19, 0.10, 0.00, true
YLR055C, YAL011W, 0.19, 0.10, 0.00, true
YAL011W, YLR085C, 0.19, 0.19, 0.00, true
YLR085C, YAL011W, 0.19, 0.19, 0.00, true
YAL011W, YLR200W, 0.08, -0.16, 0.00, true
YLR200W, YAL011W, 0.08, -0.16, 0.00, true
YAL011W, YLR262C, 0.23, -0.18, 0.00, true
YLR262C, YAL011W, 0.23, -0.18, 0.00, true
YAL011W, YLR418C, 0.18, -0.27, 0.00, true
YLR418C, YAL011W, 0.18, -0.27, 0.00, true
YAL011W, YML041C, 0.28, -0.03, 0.00, true
YML041C, YAL011W, 0.28, -0.03, 0.00, true
YAL011W, YML094W, 0.18, 0.30, 0.00, true
YML094W, YAL011W, 0.18, 0.30, 0.00, true
YAL011W, YMR263W, 0.09, -0.09, 0.00, true
YMR263W, YAL011W, 0.09, -0.09, 0.00, true
YAL011W, YNL107W, 0.10, 0.08, 0.00, true
YNL107W, YAL011W, 0.10, 0.08, 0.00, true
YAL011W, YNL153C, 0.14, -0.22, 0.00, true
YNL153C, YAL011W, 0.14, -0.22, 0.00, true
YAL011W, YOL012C, 0.16, 0.12, 0.00, true
YOL012C, YAL011W, 0.16, 0.12, 0.00, true
YAL011W, YOR026W, 0.27, -0.04, 0.00, true
YOR026W, YAL011W, 0.27, -0.04, 0.00, true
YAL011W, YOR123C, 0.30, -0.11, 0.00, true
YOR123C, YAL011W, 0.30, -0.11, 0.00, true
YAL011W, YOR349W, 0.28, 0.12, 0.00, true
YOR349W, YAL011W, 0.28, 0.12, 0.00, true
YAL011W, YPL055C, 0.12, 0.25, 0.00, true
YPL055C, YAL011W, 0.12, 0.25, 0.00, true
YAL011W, YPL235W, 0.26, 0.02, 0.00, true
YPL235W, YAL011W, 0.26, 0.02, 0.00, true
YAL011W, YPL241C, 0.06, 0.09, 0.00, true
YPL241C, YAL011W, 0.06, 0.09, 0.00, true
YAL012W, YMR300C, 0.39, 0.62, 0.00, true
YMR300C, YAL012W, 0.39, 0.62, 0.00, true
YAL013W, YBR095C, 0.13, 0.52, 0.25, true
YBR095C, YAL013W, 0.13, 0.52, 0.25, true
YAL013W, YCR009C, 0.15, 0.15, 0.00, true
YCR009C, YAL013W, 0.15, 0.15, 0.00, true
YAL013W, YDL074C, 0.25, 0.11, 0.00, true
YDL074C, YAL013W, 0.25, 0.11, 0.00, true
YAL013W, YDL076C, 0.15, 0.03, 0.08, true
YDL076C, YAL013W, 0.15, 0.03, 0.08, true
YAL013W, YDR207C, 0.22, 0.03, 0.00, true
YDR207C, YAL013W, 0.22, 0.03, 0.00, true
YAL013W, YER016W, 0.07, -0.22, 0.17, true
YER016W, YAL013W, 0.07, -0.22, 0.17, true
YAL013W, YIL084C, 0.15, 0.06, 0.11, true
YIL084C, YAL013W, 0.15, 0.06, 0.11, true
YAL013W, YJL168C, 0.15, 0.03, 0.00, true
YJL168C, YAL013W, 0.15, 0.03, 0.00, true
YAL013W, YLR085C, 0.18, -0.08, 0.00, true
YLR085C, YAL013W, 0.18, -0.08, 0.00, true
YAL013W, YLR418C, 0.12, -0.02, 0.00, true
